,0
252,"(CNN)  -- The murder of rapper Dolla reverberated throughout the music industry on Tuesday as police sought a motive for the brazen killing.Rap artist Dolla was known as a nice guy who survived a rough childhood.The aspiring Southern hip-hop artist, whose real name was Roderick Anthony Burton II, was gunned down in the busy parking lot of the upscale Beverly Center mall in Los Angeles, California, on Monday afternoon.Police later arrested Aubrey Louis Berry, 23, at Los Angeles International Airport, a Los Angeles Police statement said.
""Everything with Dolla was 'please' and 'thank you,' "" said Ant Rich, manager of A&R for Jive Records, who discovered the rapper for the label when Burton was 17 and helped sign him a year later."
253,"The WHO warns that if tobacco use is not decreased in China, these deaths will increase to 3 million by 2050.Last month, Chinese government officials were told not to smoke in public places such as hospitals, public transport or schools to set a good example for the public.The latest moves by the Chinese government on tobacco are ""hopeful,"" said Dr. Judith Mackay, the senior adviser at the World Lung Foundation, who examines tobacco issues in China.About 32 Chinese cities have passed their own rules to restrict public smoking, she added.
""Unless there is change in China, we won't proceed further in reducing the tobacco epidemic in the world."
254,"He was 87.Montazeri -- a key figure in Iran's Islamic Revolution 30 years ago -- was perhaps the most prominent cleric who publicly criticized the presidential elections last June that returned hard-liner Mahmoud Ahmadinejad to the presidency.Protesters and mourners began to gather near his home in this holy city around 7 a.m., swelling to huge numbers by the time the funeral procession began, said the witness.Both uniformed and plain clothes security forces turned out for the funeral, with the undercover officers arriving in several buses and mingling with the crowds.The witness did not see any clashes but said tensions were high as protesters stood and chanted just steps away from security forces.Many of the protesters and mourners had driven to Qom, where Montazeri lived, from Tehran and other cities hundreds of miles away, the witness said."
255,"(CNN) -- Oracle Team USA's improbable America's Cup comeback gathered further momentum on Monday after a fifth straight win over challengers Emirates Team New Zealand.Emirates Team New Zealand have been one win away from clinching the Auld Mug since last Wednesday, but Oracle Team USA never looked like losing Monday's race at San Francisco Bay.The New Zealanders still hold an 8-6 advantage over their American counterparts in the best-of-17 series.The Americans started their defense of the cup on minus two after being punished for illegally modifying their catamarans.In order to prevent defeat, Oracle Team USA need to win the final three races of the competition, starting with race 17 on Tuesday, with race 18 scheduled to take place the same day should it be required."
256,"Because had they done so, we would have had major catastrophe,"" President Beji Caid Essebsi told CNN's Christiane Amanpour.A third museum attacker remains at large, Essebsi said.Previously two suspects had been identified -- Yassine Labidi and Saber Khachnaou -- though it wasn't immediately clear if they were the pair killed at the museum by Tunisian security forces.Essebsi told Amanpour 15 arrests had been made since Wednesday's attack, in which 23 people were killed.Most of the victims were foreigners and 19 were tourists who'd been on two cruise ships that docked in Tunis.Essebsi said he believed the attackers were members of ISIS who had been trained in Libya."
257,"Watch newsreel of Kennedy's early years »Massachusetts law requires a special election for Kennedy's seat to be held within 160 days.A long-term vacancy could have effects far beyond Kennedy's home state of Massachusetts, since his death deprives Democrats of the 60-vote majority necessary to force laws through the Senate despite Republican objections.Just last week, Kennedy urged that the law be changed to allow the governor to appoint a temporary replacement until the special election could be held.
Former Rep. Marty Meehan, now the chancellor of the University of Massachusetts at Lowell, has almost $5 million in contributions at his disposal that could be used for a Senate run.Massachusetts Democrats might, however, decide it's time to turn the political page by sending a woman to the U.S. Senate.The state's politically ambitious Attorney General Martha Coakley has the distinction of being one of the few women to win statewide."
258,"Brendan Ryan.The 38-year-old manager, who was shot in an aisle of the store, was transported to Bellevue Hospital where he was later pronounced dead, Ryan said.The shooting happened in a store at 40 West 23rd Street, in the Flatiron section of Manhattan, police said.The shooter, a 31-year-old male worker at the store, was not scheduled to work when he came in, Ryan said.
The shooter was pronounced dead at the scene from a self-inflicted gunshot wound, according to the NYPD.Police recovered a .38-caliber revolver at the scene, Ryan said.Police did not speculate on a motive for the shooting, noting that the incident is still under investigation.CNN's Shimon Prokupecz contributed to this report."
259,"""She's all right,"" James said.
""My brother and I would like to see her stay in the hospital a little longer until she gets more stable.
Our main concern is for her to be taken care of right.
""Paul Wright, a lawyer represents the sons in their dispute with Etta James' husband over who makes decisions for her, said Sunday that the singer is ""nearing the ends of her time, but she's a tough lady."
260,"LONDON, England (CNN) -- Russian supermodel Natalia Vodianova's life has been a classic rags-to-riches fairytale, taking her from poverty in provincial Russia to a cosmopolitan life of wealth and aristocracy.Supermodel Natalia Vodianova was discovered in Moscow in a classic rags-to-riches tale.Her intelligence, poise and charm (as well as stunning features and long limbs), have propelled her from anonymity to being one of the most recognizable and respected models in the fashion industry.Her success has earned her the nickname Supernova.Not content to grace the covers of glossy magazines and the catwalks of the world's glamorous fashion capitals, Vodianova has also carved a role as a philanthropist.In 2005 she founded the Naked Heart Foundation, a charity that builds playgrounds for children across Russia."
261,"Atlanta, Georgia (CNN) -- Zaza Pachulia is a sporting hero in his home country -- the basketball player has gone from shooting hoops in the Republic of Georgia to playing in the NBA in Atlanta, Georgia.Standing at 6 feet 11 inches tall, Pachulia looks like he was born to play pro basketball.
""After the season I always go back to my country and try to make the kids happy.
It's a great feeling in front of your fans, [in] the place where you were born and raised, and the friends come and see your game because you're not going to see them until next summer,"" he added.Last year, Pachulia bought an Atlanta restaurant and has introduced one of Georgia's most traditional products to the menu -- its wine."
262,"(CNN)The public outrage over the ""religious freedom"" bills recently passed in Arkansas and Indiana caught the governors of those states completely off-guard, judging by their confused and contradictory responses.As poll watchers, they surely knew that most Americans now oppose the discriminatory laws and practices they accepted as normal only a dozen years ago.
Even among white evangelical Protestants, 43% of millennials support same-sex marriage, compared with less than 20% of those their grandparents' age, 68 and older.It used to be that businesses could close their eyes to discrimination in areas geographically isolated from the more liberal coasts, but that is no longer possible."
263,"Watch ex-soldier describe brutal attacks on children to Nic Robertson »Then, he says, his officers told him ""we will be taken to a patrol and then soon after that we were asked to join other people to go and burn and kill people"".That's when he says he realized he wasn't getting national service training, that in fact, he was being forced into war against his will, with his own people.
He showed me the scars where he said he was tied down beneath a tree and officers set fire to tires above him, dripping burning rubber on his body.Eventually, he said, he did get away, went to his sisters, tried joining the rebels to fight the army."
264,"NEW YORK (CNN) -- The New York City Council on Thursday voted in favor of a bill that would extend term limits, allowing Mayor Michael Bloomberg to run for a third term.New York Mayor Michael Bloomberg wants to seek a third term in office.The vote was 29 in favor and 22 against.Bloomberg, who introduced the measure, welcomed the council's approval as the ""right choice.
""On Wednesday, council members Bill de Blasio and Letitia James filed suit in a state court seeking to block the council's vote, arguing that it would be a conflict of interest for council members to vote on the bill.The city's Conflict of Interest Board determined last week that the council members' vote would not violate conflict of interest rules.De Blasio and James condemned the board's decision, saying it was ""so rushed, so results-oriented, so poorly reasoned and so damaging to the high ethical standards the charter's framers intended."
265,"(CNN) -- It didn't seem like Taylor Swift could get any bigger.She's got massive success in the music industry, millions of devoted fans and a permanent place in pop culture history, the latter thanks to an incident that the world will never, ever allow Kanye West to forget.But clearly, that wasn't enough for the (literally) towering singer.In one week, she became the second-biggest selling act of 2014 and the only solo platinum-selling artist of the year -- all with the debut of her new album, ""1989.""
She does meet-and-greets, surprises them at their bridal showers, stalks their timelines and Instagram feeds, and even made them part of her newest project.Before the world ever heard a note from ""1989,"" Swift handpicked fans who had really, really wanted to meet her and invited them to her homes around the world for a listening party."
266,"The design, which would cost an estimated $800 million to build, is the shape of an inverted pyramid with a central void to allow for some much-needed natural light and ventilation.Suarez says the first 10 stories would hold a museum dedicated to the city's history and its artifacts.
""We'd almost certainly find plenty of interesting relics during the dig -- dating right back to the Aztecs who built their own pyramids here,"" he says.The following 10 floors are assigned to retail and housing, with the remaining 35 intended for commercial office space, says Suarez.Suarez concedes that getting natural light and fresh air down to the lower floors will be a problem and he is investigating a ""system of fiber optics"" that could deliver sunlight from the surface.The design also includes a series of a series of ""earth lobbies"" that would store plants and trees with the intention of improving air-quality and, no doubt, the gloomy subterranean landscape.Suarez says renewable energy could be generated by a turbine powered from collected groundwater."
267,"At best, the house on Manor Lane afforded me refuge from a small-town suburban world that wasn't especially thrilled to have me in it.My parents were kind and attuned enough to let me cocoon myself in the basement, setting up a painting (and, let's face it, sulking) studio where I was free to make terrible art and dreadful poetry and go about the business of being a misfit teen, biding time until my escape.At worst, and especially after I'd moved away and begun building a happier life, a night back in my childhood bed could easily press the air from my chest."
268,"""Be kind, please rewind,"" the signs used to say in video stores, urging customers to return their rented VHS tapes spooled back to the beginning.If only Blockbuster could rewind back to the 1990s.That was the time when the video chain was the colossus of the movie-rental business, with stores in seemingly every city shopping district and suburban strip mall in America.
Visiting the store was a weekly rite for many people, who would show up on Friday evenings to check out the latest releases, navigating a crush of couples and families who had exactly the same idea -- only to find out that the last copy of ""Air Force One"" or ""The Lion King"" had already been snagged.That custom is now as gone as a world with three television networks, a UHF station's late show and a Zenith Space Command.On Wednesday, DISH Network, which purchased Blockbuster in 2011, announced it was closing the chain's 300 remaining U.S.-based retail stores, as well as its distribution centers."
269,"(CNN) -- Fidel Castro has released a previously unannounced two-volume memoir of his life, Cuban state-run media reported Saturday.In a six-hour presentation Friday, the leader of the Cuban Revolution and former president was jovial as he spoke about the 1,000-page work, the Granma newspaper reported.Castro, 85, spoke together with a panel of cultural and literary officials at the unveiling of the books.
""They are going to talk to you about two books that you had no idea about,"" Castro said, according to Granma.The two volumes, titled ""Fidel Castro Ruz: Guerrilla of Time,"" is based on conversations with the writer and journalist Katiuska Blanco.The books cover his life from infancy to December 1958, on the eve of victory of the Cuban Revolution.In photos published online, Castro is seen at the unveiling, wearing a dark blue workout suit over a checkered button-down shirt.A Cuban writer, Graziella Pogolotti, said she encouraged Castro to continue writing, despite the challenges of recalling the past, Granma reported."
270,"Those who have been following the recent soap opera at the University of Virginia may think that it has to do with the blundering dismissal of the president, Teresa Sullivan, and her subsequent re-engagement by the Board of Visitors under instruction by the governor of the state to put their house in order or resign.In fact, the heart of the drama is not about the president.
In today's story, the students and faculty are saying that they are the university, an entity to be protected from a seemingly intrusive force: the Board of Visitors.These campus constituents who are sometimes called ""members of the academy"" or ""the university community"" had the benefit of Sullivan's leadership for only two years, a period traditionally considered far too brief for any group to develop strong feelings of loyalty and attachment.
Process becomes substance.In the case at the University of Virginia, the leader of the board, Helen Dragas, was exposed as having disregarded ""the way we do things."""
271,"But these first gentle moments (even experienced in the humble environs of a manger) are perhaps the easiest of any parent-child relationship.The story that would develop for Jesus and his mother, as presented in the gospels, was complicated, and not very unlike what happens in many families: a tale of enchantment, then disenchantment, of resistance and reconciliation.The first scene in the Gospels after the Nativity occurs when Jesus is 12, on the cusp of adolescence.
Yet their relations ended on a note of deep accord, with Mary taking on her role as ""mother of God,"" becoming an important figure in the early church.And we think of her at Christmas, this woman ""full of grace,"" who, with Christ child in arms, was ""blessed among women."
272,"(CNN)WikiLeaks founder Julian Assange has agreed to be interviewed by Swedish prosecutors in London, his lawyer in Sweden told CNN.Assange has been holed up in the Ecuadorian Embassy in London since June 2012 to avoid extradition to Sweden, where prosecutors want to question him about 2010 allegations that he raped one woman and sexually molested another.According to the lawyer, Thomas Olsson, Swedish prosecutors will now have to reach out to British and Ecuadorian authorities to request permission to conduct the interview at the embassy.The prosecutors previously balked at coming to Britain to question Assange.However, some of the alleged crimes will be subject to a statute of limitations in August 2015, according to a statement from Marianne Ny, the director of public prosecutions.Ny explained the logic behind the Swedish authorities' change of approach in her statement."
273,"(CNN) -- Arizona Cardinals backup running back Jonathan Dwyer was arrested in connection with domestic abuse allegations, Phoenix police said Wednesday night.The Cardinals deactivated Dwyer after news of the arrest, according to a news release from the team.CNN's calls to the office of Dwyer's agent, Adisa Bakari, weren't immediately returned.The announcement from the Phoenix Police Department said two incidents allegedly occurred on consecutive days in late July.
They were reported last week.Detectives interviewed Dwyer and he ""admitted to the incidents, however, denied any physical assaults,"" the police statement said.Police said he was booked on one count of aggravated assault causing a fracture, one count of aggravated assault involving a minor, two counts of criminal damage, one count of preventing the use of a phone in an emergency, and assault.The two victims were a 27-year-old woman and an 18-month-old child, police said.Dwyer is being held at the Maricopa County Jail.The Cardinals said they became aware of the allegations when contacted by police.Dwyer, 25, is the fourth NFL player to be in the headlines this week."
274,"""Today I woke up with no pain and 200% ready for Monza,"" Alonso wrote on his Twitter blog.Grosjean has been banned for one race for his part in the accident, which ended Alonso's chances along with McLaren's Lewis Hamilton and Mexican Sergio Perez of Sauber, after they were also caught up in the carnage.Hamilton's teammate Jenson Button went on to win the race from pole position after avoiding the incident.Alonso's championship lead was reduced to 24 points as two-time defending champion Sebastian Vettel capitalized on the chaos to finish second and move ahead of Red Bull teammate Mark Webber in the overall standings, heading into the Italian Grand Prix.The Spaniard said after the horror crash that he felt lucky to be able to race on in the championship."
275,"West Bank (CNN) -- Hundreds of Israeli police swarmed a makeshift Palestinian protest camp early Sunday morning, taking dozens of activists into custody for questioning before releasing them later.The operation marked the latest saga in the bitter back-and-forth over Israel's settlement activity in the West Bank.The camp, which protesters dubbed Bab Alshams, sprung up Thursday, in a roughly 12-square kilometer (5-square mile) area Israel has dubbed E1.In recent weeks, Israel has signaled its intention to construct settlements in the area.
ET Saturday), all those detained had been released, said activist Abir Kopty.Six protesters were injured when officers punched them in the face, according to the Popular Struggle Coordination Committee, the organizers of the Bab Alshams protest camp."
276,"Rubble-strewn roads, downed trees and a battered communications network hampered humanitarian groups trying to get supplies to victims, and thousands of people left homeless by Tuesday's 7.0-magnitude quake roamed the streets.Raymond Joseph, the Haitian ambassador to the United States, said Thursday that the priority of arriving military personnel will be to clear the roads.Watch a student tell how she tried to flee""The Port-au-Prince airport is going to be overloaded [with] supplies and there's going to be no way to distribute it because the roads are blocked,"" he told ""The Situation Room,"" calling for heavy machinery to move the debris.U.S.
Crowley said he estimates at least 30 countries have pledged meaningful assistance that has already reached Haiti or is on its way.Speaking at the United Nations, Secretary-General Ban Ki-moon said ""one of the most heartening facts in this otherwise heartbreaking story is the dimension of the international response."
277,"Haugen, who killed another prisoner while serving a life sentence for a previous murder, had waived all appeals.In a previous term as governor, Kitzhaber allowed two men to be executed, and he explained Tuesday that ""I simply cannot participate once again in something that I believe to be morally wrong.""
This wave of anger, though, should not distract from two important truths: first, that Kitzhaber's actions are within, not without, the basic rules of our democracy; second, that Kitzhaber is a proxy for the thousands of people in this country who have had to live with doubt and even regret because they were thrust into the death penalty process while doing their civic duty as jurors, judges or lawyers.In 1984, Oregon voters chose by referendum to reinstate the death penalty."
278,"But the people of this vast country have a narrow window of hope to achieve progress by ridding both their nation and the world of a horrible disease forever.With support from The Carter Center and others in one small targeted area where cases remain, Sudan -- the last stand for Guinea worm disease -- could quickly eliminate this parasitic infection contracted from contaminated drinking water.Guinea worm victims endure the horror of a thin worm, up to 3 feet (1 meter) long, emerging slowly through a burning blister in their skin over the course of about a month after the parasite has incubated inside them for a year.
The few other cases are in Ghana, Mali and Ethiopia.I recently returned to Southern Sudan to visit an endemic Guinea worm village and met with ministers of health from Northern and Southern Sudan, who are assisted in their Guinea worm eradication effort primarily by The Carter Center and other partners, including the World Health Organization, UNICEF, and the Centers for Disease Control and Prevention.Sudan has reduced its cases by 98 percent since the eradication program began there in 1995, and we expect even greater reductions in 2010.But continuing insecurity is a major concern."
279,"Here's a breakdown, by the numbers:$130.97 -- The per person average estimated amount that people will spend on Valentine's Day.224 million -- The estimated number of roses grown for Valentine's Day.51% -- The percentage of people who buy red roses for this holiday.64% -- The percentage of men who buy flowers for Valentine's Day.36% -- The percentage of women who buy flowers for Valentine's Day.$18.6 billion -- The total spending that will be reached by Valentine's Day.$1.6 billion -- The amount people will spend on candy.$1.9 billion -- The amount people will spend on flowers.$4.4 billion -- The amount people will spend on diamonds, gold and silver.March 14 -- The day men give women romantic gifts in South Korea and Japan; women give men chocolate on Valentine's Day.$4.52 -- The average amount pet owners spent on their pets on Valentine's Day in 2012.40.7% -- The percentage of people who will use their Smartphone to purchase Valentine's gifts.85% -- The percentage of men and women who say sex is an important part of Valentine's Day.6 million -- The number of people who expect or are planning a marriage proposal.29% -- The percentage of people who will type a romantic text message.145 million -- The unit amount of Valentine's cards purchased.151 million -- The approximate number of cards that are exchanged on Valentine's Day.1,400 -- Varieties of Hallmark's available Valentine's greeting cards."
280,"(CNN) -- David Simon has gotten behind a ""Hero.
""According to The Hollywood Reporter, the ""Wire"" creator will be co-producing ""Show Me a Hero,"" a six-hour miniseries to air on HBO.
)The program fits in perfectly with Simon's concerns about race, class and the political conflicts they spawn.It's based on a 1999 nonfiction work by Lisa Belkin about a battle over housing in Yonkers, New York, just north of New York City.
An effort to add low-income housing to the city's east side led to a ferocious court case, angry demonstrations, tribal politics and, eventually, a suicide.The book has been compared to J. Anthony Lukas' classic work about Boston's busing crisis, ""Common Ground."
281,"(CNN) -- Hours after getting laid off, a 36-year-old Minneapolis man returned to his former workplace and opened fire, killing five, including a business owner recently honored at the White House, before turning his gun on himself.Minneapolis police and city officials described Friday what happened over the span of 10 or 15 minutes the previous afternoon, when the man walked through the loading dock of Accent Signage Systems and started shooting.
""Rybak said officials will work to make sure that Accent Signage Systems remains in business after its founder's violent death.Since being founded in Rahamim's basement in 1984, Accent has steadily grown -- including developing a patent for technology that imprints Braille on things like hotel room numbers and restroom signs -- and now employs 30 people and earns $5 million to $10 million each year, CNN affiliate KARE reported."
282,"""• In July 2011, a hospital physician sent a warning to administrators that the backlog for Dorn patients' gastrointestinal appointments had reached 2,500, and patients were waiting eight months -- until February 2012 --  for appointments.• By December 2011, the documents show, the backlog at Dorn had grown to 3,800 patients, according to another warning e-mail from a physician.Read the full VA investigation board report (PDF)Little was done to effectively resolve the problems, according to expert sources and documents.In September 2013, the VA's inspector general affirmed details of the delays at Dorn in stark language, stating that 700 of the delays for appointments or care were ""critical."
283,"(CNN) -- Ok, people, let's say it all together again: If it looks too good to be true, it probably is.That video of an eagle swooping down to pick up a baby?
We laugh.Fake!Monday night, talk show host Jimmy Kimmel had the girl on his show where the pair offered up the big reveal -- the rest of the video.As the girl is screaming, Kimmel, wearing an identical pink T-shirt, rushes in, fire extinguisher in hand.
It just ""let the magic happen,"" he said.And boy, did it work!Kimmel then showed a montage of the dozens of shows that aired the video, including CNN's ""Erin Burnett OutFront.
""Good thing nothing is happening in Syria right now,"" Kimmel quipped.He said he hoped the video would stop twerking forever.If only."
284,"London (CNN) -- Rosetta mission controllers have made the first call to ""Go"" for an attempted landing on Comet 67P, the European Space Agency (ESA) announced in a webcast Tuesday.If it succeeds it will be the first time a spacecraft has landed on a comet.Scientists say there are still a few more key decisions to take in the coming hours before a planned separation of the landing craft Philae from the mother ship Rosetta on Wednesday.Philae, which has spent 10 years fixed to the side of Rosetta during the journey across the solar system, cannot be steered once released.Before Tuesday's announcement, ESA lander system engineer Laurence O'Rourke told CNN that the orbiter Rosetta has to be in the right position to allow the craft to ""free fall"" on the correct trajectory to the chosen landing site.Scientists are hoping the probe will help us learn a lot more about the composition of comets and how they react when they get close to the Sun.Weighing in at 220 pounds, it might be the size of a domestic washing machine but Philae is considerably smarter.It is equipped with an array of experiments to photograph and test the surface of Comet 67P as well as finding out what happens when the roasting effect of the Sun drives off gas and dust.But first it has to reach the landing site -- and there's a lot that could go wrong.O'Rourke explained that hours before separation, Philae's on-board batteries are prepared and a fly wheel is started to give the probe stability on its journey to the comet surface."
285,"""There should be no doubt in the minds of South Africans that Mr. Pistorius and any other inmate with disabilities will be accommodated properly,"" he said.Overcrowding is an issue across the prison system, he acknowledged, but has been reduced from a rate of 63% in 2005 to 31% today.Asked about the problems of gangs and violence in prisons, Modise said that more needs to be done to eradicate gangs outside the prison system and that within the system, authorities are dealing with the issue.Roux, in questioning Modise, made the point that whether Pistorius was given a single cell in the hospital section of Kgosi Mampuru would depend on those evaluating his case when he entered prison.However, Modise's testimony indicates that he does not think Pistorius should be held in the general section of the prison, Roux said.He also raised concerns about what illnesses Pistorius could be exposed to in the hospital section -- tuberculosis is a problem in South African prisons -- and the levels of medical staffing.Probation officer Annette Vergeer, who testified earlier in the week, said she did not think that South Africa's prison system could cater adequately to a vulnerable prisoner like Pistorius.No minimum sentenceThere is no legal minimum sentence for culpable homicide in South African law, so it will be up to the judge to decide.A typical sentence is five to eight years."
286,"(CNN) -- From ""The West Wing"" to ""The Help,"" Allison Janney has been part of some of the most acclaimed ensemble casts of the big and small screens.But for her latest role, the award-winning actress finds yet another medium to share her talents and this time with just one other performer, 18-year-old starlet Dakota Fanning.
In an interview with CNN, Janney had some choice words for anyone going head-to-head with women's rights, pointed a finger at a certain reality TV show she blames for killing ""The West Wing,"" and offered up a few pearls of wisdom to fellow ""5-foot-12"" beauties like herself.
I love everything she's been in and thought she'd be that caliber of an actress who could take on this issue and do it the right way.CNN: There was a time not too long ago when movie stars wouldn't do TV."
287,"The girl is still being treated for the injuries she sustained in the attack.Renz -- who police said was arrested after trying to flee the scene through the woods -- has been charged with rape, kidnapping and murder.He had been ordered to wear the electronic tracking device on his ankle while awaiting trial on child pornography charges, Matt Brown, chief probation officer of the Northern District of New York, told CNN Friday.Renz was also told he had to be home between the hours of 9 p.m. and 7 a.m., Brown said.Authorities believe Renz was able to remove the strap to the tracking device and reconnect it quickly enough that the probation office was not alerted, Brown said.If a tracking device experiences any trauma, such as banging against a wall, a ""strap tampering"" report is generated, Brown said."
288,"3 Li has taken the country's tennis further.She won its first singles grand slam at the 2011 French Open, before clinching a second title at this year's Australian Open.No Chinese woman has ever reached the U.S. Open singles final, a record that Peng -- who has won two grand slam doubles titles in the last year -- will try to correct on Thursday.She will meet 2009 finalist Caroline Wozniacki, who continued her career resurgence by crushing Italian 13th seed Sara Errani 6-0 6-1 later Tuesday.The former world No.
""I'm happy I'm able to come forward now because coming to net requires a lot of agility and explosiveness, and I have it back,"" said the veteran 17-time grand slam winner.He has a 7-2 record over Monfils, beating him in three sets on the way to winning the Cincinnati title last month."
289,"(CNN) -- As McDonald's opens its first restaurant in Vietnam, take a look at some of the big breakthroughs the fast food chain has made in the past -- from its first outlet in the Soviet Union, through the Kosher Mac and MacMaharaja, to the branch at Guantanamo Bay.RussiaIt took McDonald's 14 years of intense negotiations to convince the Communist leaders of the Soviet Union to allow the chain to set up their first restaurant.
The restaurant is only accessible to the base's personnel and the chain says it has no plans to open any other branches in Cuba.Bosnia and HerzegovinaMcDonald's spent more than four years trying to break into the Bosnian market, but opposition from local shop owners, supported by the government, was fierce."
290,"FBI and partner agencies investigated about a dozen reports of suspicious incidents or people, but none was anything serious.About 957 people visited the medical tents on the mall for various first-aid needs.Some security screening lines ran slowly, officials said, but there had not been any major systemic problems.Earlier in the day, federal officials were reviewing an unspecified threat to disrupt the inauguration, according to the Department of Homeland Security.The FBI was investigating two ""streams of intelligence"" suggesting that Somalia-based terrorist organization Al Shabaab may have been plotting an attack timed to coincide with the event, the FBI and Homeland Security said in a joint threat advisory obtained by CNN.Security officials made some readjustments to inauguration security as a precaution and did not change the threat level, an administration official said.The ceremony went off without incident.Secretary of State Condoleezza Rice designated al-Shabaab, also known as the Mujahedeen Youth Movement, a ""Foreign Terrorist Organization"" in February.The State Department calls it ""a violent and brutal extremist group with a number of individuals affiliated with al Qaeda."
291,"(CNN) -- One day after a court in eastern China sentenced him to life in prison for corruption, former Communist Party official Bo Xilai appealed his verdict and sentencing, a source with direct knowledge of the case told CNN.Bo -- a former rising political star who fell from power amid a scandal involving murder, betrayal and financial skullduggery -- was convicted Sunday of bribe-taking, embezzlement and abuse of power.5 big moments from the trialHe received the life sentence for bribe-taking,15 years for embezzlement and seven years for abuse of power.When Bo heard the decision at Jinan Intermediate People's Court on Sunday, he called out, ""This verdict seriously contradicts the facts and it is unfair"" before being led out of the courtroom, the source said.The court's official account of the proceeding, posted on its microblog as well as state media reports, did not mention Bo's reaction.The sentences, which came shortly after the guilty verdicts, surprised some analysts."
292,"New Delhi (CNN) -- Part of a residential building collapsed in central Mumbai on Monday evening, killing four people and injuring six, and rescuers continued to search for others who might be trapped Tuesday morning, officials said.Municipal commissioner Sitaram Kunte told CNN Tuesday that four people have died and six have been rescued with injuries.
He said one wing of a two- or three-story apartment building collapsed in the Mahim district of central Mumbai."
293,"(CNN) -- Wael Ghonim, a Google executive who has been missing for more than a week following his purported arrest in Cairo, is to be released Monday, according to two Egyptian television news networks.Telecom executive Naguib Sawiris announced on OTV Sunday that Ghonim would be released at 4 p.m. Monday.
There was no explanation as to the executive's whereabouts or condition.Sawiris is a member of the so-called Committee of the Wise, a group of independent elite leaders of Egyptian society taking part in talks over the future of the country.The announcements follow the release of a statement earlier Sunday by the human rights group Amnesty International.
""The Egyptian authorities must immediately disclose where Wael Ghuneim is and release him or charge him with a recognizable criminal offence,"" said Hassiba Hadj Sahraoui, deputy director of Middle and North Africa at Amnesty International."
294,"""There have been threats against several schools, but this is the first time we have been able to make an arrest,"" said Arturo Sandoval, Chihuahua State Ministerial Police spokesman, after police acted Tuesday.Alberto Enrique Hernandez Magallanes, 62, is accused of making phone and written threats asking for money in exchange for not hurting the children.
Police said he sent school administrators notes in packages that included bullets.Citing security concerns, police asked that the name of the school not be divulged.
The spokeswoman for Chihuahua's state prosecutor, Daniela Gonzalez, described it as a private school with a student body drawn primarily from middle- to upper-class families.
""School administrators were anxious and afraid,"" Gonzalez said."
295,"""He must not want the tea party vote in the general election and that is why he should be removed,"" Amy Kremer, the Tea Party Express chair, told CNN previously.And the local Louisville Tea Party group endorsed Bevin last week.McConnell is expected to win his primary, but he's not making many friends among groups aligned with the tea party.Evangelical Latinos say they could be force in midterm electionsIncumbents at riskThe SCF is not the only thorn in Republican incumbents' side.In addition to the local and national tea party groups, Washington-based operations like Club for Growth and FreedomWorks have vowed to make sure that Republicans in name only (RINOs) -- those viewed as not committed to their description of a limited government -- have to empty out their Washington offices after November.Other Senate incumbents facing primaries include Kansas Sen. Pat Roberts and Mississippi's Thad Cochran.In Cochran's race, the conservative Club for Growth published an op-ed this week in SunHerald.com in Mississippi calling him a ""liberal"" because, among other things, he voted to create the Department of Education in the 1970s."
296,"The event has since morphed into one of most popular events on the DIY calendar, the All-American Soap Box Derby, in which kids and teenagers race homemade cars.Despite its name, the event attracts an international crowd, and many of the pre-adult contestants have grown up to become famous racers and engineers.
""Soap Box Derby racing teaches you not only the racing, but how to build a car, and what goes into making it fast,"" says Bobby Dinkins, the marketing director for the event.Contestants range in age from 7 to 17, and all have to qualify either by winning their local race, or racking up enough points in a rally race.
As a result, Dinkins notes, many practice pretty hard.Read more: Summer solstice: It's all about sex""These kids are racing all year long to qualify,"" he says.In Baltimore, Maryland, children and adults alike take part in a more whimsical dash: the Kinetic Sculpture Race."
297,"""It's in our nation's best interest to be under a common strategy,"" he said.Fuel efficiency standards: Regardless of what California does, Obama also moved to implement higher fuel efficiency standards passed in 2007.Those increases - the first in more than 30 years - called for raising the average fuel economy from 27.5 miles a gallon for cars and 22 miles a gallon for trucks to 35 miles a gallon for the whole fleet by 2020.Obama said the increased standards would save 2 million barrels of oil a day.That's about 10% of the country's total oil consumption, and roughly the same amount the country currently imports from the Persian Gulf."
298,"Endless self-congratulation!What, you think Sunday's Oscars are about the movies and the fashion?Yes, there is quite a race between best picture contenders ""12 Years a Slave,"" ""Gravity"" and ""American Hustle.""
With her fourth win, best actress nominee Meryl Streep, who now has 18 nominations, could tie Katharine Hepburn as the performer with the most Oscar wins.
And with an Oscar victory, best song nominee Robert Lopez, who co-wrote ""Frozen's"" ""Let It Go,"" will become an EGOT -- a winner of an Emmy, Grammy, Oscar and Tony.
Controversy!If Cate Blanchett wins best actress for ""Blue Jasmine"" -- as she's widely expected to do -- will she thank the film's director, Woody Allen?"
